trace_id,source_ref,source_intent,implementation_artifacts,verification,status,commits,notes
TR-OUT-001,"OUT-001; PS-001","Lokal-first översikt över återkommande kostnader, historik, kommande månader, uppsägningar och dataseparering.","src/ui/App.tsx; src/domain/calculations.ts; src/domain/date.ts; src/app/useAppState.ts; src/storage/localStore.ts","src/domain/calculations.test.ts; src/ui/App.test.tsx; src/storage/localStore.test.ts",implemented,,"Enskilda köp och signaler är senare produktutökning."
TR-EP-001,"EP-001; EPC-001; AD-001..AD-004; SC-001..SC-004","Skapa, växla, konfigurera och isolera ekonomiska sammanhang.","src/app/actions.ts; src/domain/seed.ts; src/domain/calculations.ts; src/ui/App.tsx; src/storage/exportImport.ts","src/app/actions.test.ts; src/ui/App.test.tsx; src/storage/exportImport.test.ts",implemented,"c52acd6; e4c3f81; 4dce104","Kontext heter plånbok i UI."
TR-EP-002,"EP-002; EPC-002; AD-010..AD-014; SC-005..SC-008","Snabbregistrering av återkommande utgift med leverantör, belopp, periodicitet, kategori, betalare och signal.","src/ui/App.tsx: ExpenseModal/ExpenseComposer; src/app/actions.ts: upsertExpense; src/domain/types.ts; src/domain/seed.ts","src/app/actions.test.ts; src/ui/App.test.tsx",implemented,"cec41a8; 4d31a48; 4dce104","Dragningsdag default 27 är senare användarbeslut."
TR-EP-003,"EP-003; EPC-003","Tidslinje med utgifter som rader, månader som kolumner, detaljexpansion och månadssummering.","src/ui/App.tsx: Timeline/TimelineToolbar; src/domain/date.ts; src/domain/calculations.ts","src/domain/calculations.test.ts; src/ui/App.test.tsx",implemented,"9db2976; d723275; 4ec1f1a","Översikten har separata sektioner för återkommande och enskilda köp."
TR-EP-004,"EP-004; EPC-004","Uppsägningstid, låst period och tidigaste möjliga kostnadsfria månad.","src/domain/calculations.ts; src/app/actions.ts; src/ui/App.tsx","src/domain/calculations.test.ts",implemented,,"Simulering av uppsägning går utöver enklaste MVP men bygger på samma krav."
TR-EP-005,"EP-005; EPC-005","Grunddataregister för personer, leverantörer, kategorier, logga/filer och uppsägningsinstruktioner.","src/ui/App.tsx: Registers; src/domain/seed.ts; src/app/actions.ts; src/domain/types.ts","src/ui/App.test.tsx",implemented,"43b7169; f6f7e5c; f8a89b7","Nöje och businessnamn är senare register-/signaljusteringar."
TR-EP-006,"EP-006; EPC-006","Export/import av kontext, flyttbar data, filval, CSV och valideringsfel.","src/storage/exportImport.ts; src/storage/dataFile.ts; src/ui/App.tsx: Admin","src/storage/exportImport.test.ts; src/ui/App.test.tsx",implemented,"bb76992; 7eeb409","Datafil och handoff-fil är praktiska utökningar av flyttbarhetskravet."
TR-EP-007,"EP-007; Lokal lagring; out-of-scope Molnsynk","Lokal lagring utan konto och utan ogrundade säkerhetslöften.","src/storage/localStore.ts; src/storage/dataFile.ts; src/storage/cloudStore.ts; src/app/useAppState.ts","src/storage/localStore.test.ts; src/ui/App.test.tsx",implemented_with_extension,,"Molnsync finns som avancerad egen endpoint men var out-of-scope i originalmaterialet."
TR-EP-008,EP-008,"Insikter kring månadssumma, kategori, betalare, disponibel inkomst och potentiell besparing.","src/ui/App.tsx: Statistics/BarList/PieChart/SpendRanking/PurchaseSignalPanel; src/domain/calculations.ts","src/domain/calculations.test.ts; src/ui/App.test.tsx",implemented,"fd4e1af; 072dd32; 25fbc36","Köpradar och signalstatistik är senare fördjupning."
TR-EP-009,"EP-009; Journey J-001..J-003","Guidat första flöde, mobil layout, tomlägen, primär ny-utgift och filter.","src/ui/App.tsx; src/ui/styles.css","src/ui/App.test.tsx",implemented,"55dd694; 0299e8b; 0f8351d; bd85972","Plånbok ersätter Kontext i UI."
TR-EP-010,EP-010,"Premium/tillväxt: simulering, PDF, mallar, planflagga och lokala besparingsförslag.","src/ui/App.tsx: SimulationPanel; src/storage/exportImport.ts: exportPdf; src/domain/seed.ts","src/domain/calculations.test.ts; src/storage/exportImport.test.ts",partial,,"Simulering och PDF finns. Verklig betalvägg är inte implementerad."
TR-EXT-001,"Later user change requests; original out-of-scope Bankkoppling","Importera kontoutdrag från Excel/PDF utan bankkoppling och visa enskilda köp.","src/storage/bankStatementImport.ts; src/app/actions.ts; src/ui/App.tsx: Purchases/PurchaseModal","src/storage/bankStatementImport.test.ts; src/app/actions.test.ts; src/ui/App.test.tsx",post_framing_extension,"637f322; 8398efc; d02a1ac; bd85972","Filimport är inte bankkoppling men bör dokumenteras som scope-tillägg."
TR-EXT-002,"Later user change requests; AD-013/SC-008","Samma signalidé för återkommande och enskilda köp, med granska som importläge för köp.","src/domain/types.ts; src/ui/App.tsx; src/app/actions.ts","src/app/actions.test.ts; src/ui/App.test.tsx",post_framing_extension,"65d8417; 1f173d5; 9338743; d91e760","Granska finns bara för enskilda köp/importgranskning."
